,Cidade,UF,Código,Latitude,Longitude,Altitude,geometry,Dis_1,Viz_1,Dis_2,Viz_2,Dis_3,Viz_3,Dis_4,Viz_4,Dis_5,Viz_5,Dis_6,Viz_6,Dis_7,Viz_7,Dis_8,Viz_8,Dis_9,Viz_9,Dis_10,Viz_10
33,PICOS,PI,A343,-7.07083332,-41.40416666,233,POINT (-41.40416666 -7.07083332),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
34,RIO BRILHANTE,MS,A743,-21.77472221,-54.52805554,329,POINT (-54.52805554 -21.77472221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
35,CORUMBA,MS,A724,-18.99666666,-57.63749999,126,POINT (-57.63749999 -18.99666666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
36,GUARDA-MOR,MG,A546,-17.56166666,-47.19944444,616,POINT (-47.19944444 -17.56166666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
37,SAO MIGUEL DO OESTE,SC,A857,-26.77666666,-53.50444444,665,POINT (-53.50444444 -26.77666666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
38,XEREM,RJ,A603,-22.58972221,-43.28222221,33,POINT (-43.28222221 -22.58972221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
39,PORTO WALTER,AC,A136,-8.26694443,-72.74777777,204,POINT (-72.74777777 -8.26694443),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
40,NATAL,RN,A304,-5.9,-35.2,48.6,POINT (-35.2 -5.9),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
41,CAMPOS SALES,CE,A347,-7.07805554,-40.36305555,572,POINT (-40.36305555 -7.07805554),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
42,PARQUE ESTADUAL CHANDLESS,AC,A102,-9.3575,-69.92722221,187,POINT (-69.92722221 -9.3575),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
43,BOCA DO ACRE,AM,A110,-8.77666666,-67.33222221,111,POINT (-67.33222221 -8.77666666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
44,EIRUNEPE,AM,A109,-6.65027777,-69.86694443,143,POINT (-69.86694443 -6.65027777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
45,COSTA RICA,MS,A760,-18.82277777,-53.26722221,730,POINT (-53.26722221 -18.82277777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
46,FAROL de SANTANA,MA,A217,-2.27083332,-43.62388888,8,POINT (-43.62388888 -2.27083332),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
47,SAO CARLOS,SP,A711,-21.97972221,-47.88333333,863,POINT (-47.88333333 -21.97972221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
48,RECIFE,PE,A301,-8.05916666,-34.95944444,10,POINT (-34.95944444 -8.05916666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
49,VILHENA,RO,A938,-12.73472221,-60.15777777,590,POINT (-60.15777777 -12.73472221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
50,ESPINOSA,MG,A543,-14.91277777,-42.82972221,569.64,POINT (-42.82972221 -14.91277777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
51,SENHOR DO BONFIM,BA,A428,-10.44305555,-40.14833333,539,POINT (-40.14833333 -10.44305555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
52,VITORIA,ES,A612,-20.26666666,-40.3,9,POINT (-40.3 -20.26666666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
53,LAGOA VERMELHA,RS,A844,-28.22194443,-51.51222222,842.58,POINT (-51.51222222 -28.22194443),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
54,MONTES CLAROS,MG,A506,-16.71666666,-43.86666666,646.29,POINT (-43.86666666 -16.71666666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
55,PIRACICABA,SP,A726,-22.70277777,-47.62305554,573,POINT (-47.62305554 -22.70277777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
56,QUEIMADAS,BA,A436,-10.98472221,-39.61694443,315,POINT (-39.61694443 -10.98472221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
57,FORMIGA,MG,A524,-20.45472222,-45.45388888,873,POINT (-45.45388888 -20.45472222),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
58,SERRA DOS CARAJAS,PA,A230,-6.07749999,-50.14222221,719,POINT (-50.14222221 -6.07749999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
59,SETE QUEDAS,MS,A751,-23.96694443,-55.02416666,402,POINT (-55.02416666 -23.96694443),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
60,FEIRA DE SANTANA,BA,A413,-12.19583333,-38.96722221,231,POINT (-38.96722221 -12.19583333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
61,SERRA TALHADA,PE,A350,-7.95361111,-38.29472221,461,POINT (-38.29472221 -7.95361111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
62,ABROLHOS,BA,A422,-17.96416666,-38.6961111,25,POINT (-38.6961111 -17.96416666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
63,CONCEICAO DO ARAGUAIA,PA,A241,-8.25916666,-49.27416666,180,POINT (-49.27416666 -8.25916666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
64,MANAUS,AM,A101,-3.10333333,-60.01638888,61.25,POINT (-60.01638888 -3.10333333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
65,CATALAO,GO,A034,-18.15777777,-47.92638888,890,POINT (-47.92638888 -18.15777777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
66,COTRIGUACU,MT,A919,-9.90611111,-58.57194443,261,POINT (-58.57194443 -9.90611111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
67,PATROCINIO,MG,A523,-18.99638888,-46.98583333,976,POINT (-46.98583333 -18.99638888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
68,TAUBATE,SP,A728,-23.04194444,-45.52027777,571,POINT (-45.52027777 -23.04194444),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
69,PEDRO AFONSO,TO,A020,-8.9686111,-48.19416666,189,POINT (-48.19416666 -8.9686111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
70,PALMEIRA DAS MISSOES,RS,A856,-27.92166666,-53.31694443,631,POINT (-53.31694443 -27.92166666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
71,IBIRITE (ROLA MOCA),MG,A555,-20.0311111,-44.01111111,1208,POINT (-44.01111111 -20.0311111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
72,APIACAS,MT,A910,-9.56388888,-57.3936111,220,POINT (-57.3936111 -9.56388888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
73,IBIRUBA,RS,A883,-28.65333333,-53.11194444,456,POINT (-53.11194444 -28.65333333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
74,LINHARES,ES,A614,-19.35694444,-40.0686111,40,POINT (-40.0686111 -19.35694444),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
75,AMARGOSA,BA,A434,-13.00944444,-39.61694443,407,POINT (-39.61694443 -13.00944444),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
76,SURUBIM,PE,A328,-7.83694444,-35.7961111,418,POINT (-35.7961111 -7.83694444),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
77,SANTANA DO LIVRAMENTO,RS,A804,-30.84249999,-55.61277777,196,POINT (-55.61277777 -30.84249999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
78,MARECHAL THAUMATURGO,AC,A137,-8.95,-72.78666666,230,POINT (-72.78666666 -8.95),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
79,MONTALVANIA,MG,A526,-15.08583333,-44.01583333,512,POINT (-44.01583333 -15.08583333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
80,ARARANGUA,SC,A867,-28.93138888,-49.49805555,12,POINT (-49.49805555 -28.93138888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
